pair,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
archivo1.txt-archivo2.txt,65.6406,58.4062,21,28,44,81.25,530
archivo1.txt-archivo3.txt,36.3789,19.4338,22,27,33,39,246
archivo1.txt-archivo4.txt,34.3828,14.5387,23,27,31,38,202
archivo2.txt-archivo1.txt,35.75,21.1766,22,27,33,39,261
archivo2.txt-archivo3.txt,36.3438,20.7345,22,27,31,39,231
archivo2.txt-archivo4.txt,34.5156,9.58552,22,27,34,39,97
archivo3.txt-archivo1.txt,35.8203,14.1041,22,27,33,40,160
archivo3.txt-archivo2.txt,38.1523,35.2163,22,27,32.5,39,446
archivo3.txt-archivo4.txt,36.4453,19.9505,23,27,32.5,39,190
archivo4.txt-archivo1.txt,35.9062,17.9402,23,28,33,39,235
archivo4.txt-archivo2.txt,39.4609,30.5172,23,28,35,40.25,347
archivo4.txt-archivo3.txt,96.8633,135.143,25,32,47,109,1472
