n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,124223,48857.5,69575,70905.5,148655,150151,246022
2,70891.1,2320.43,69481,69800.2,70077.5,70688.2,78944
3,70327.1,1443.16,69443,69697,70003,70424.8,76218
4,72968.8,3003.98,69517,70457.8,72753,75198.8,80645
5,78082.5,3014.19,74797,74992.8,78242,80858,81953
6,89392.5,11441.3,80371,81603.5,87616.5,95381.2,130950
7,83804.1,4151.67,80196,80627.2,81385,87045.2,95730
8,101956,14181,81325,90614.8,97460,116373,124790
9,141048,23236.4,116475,132182,132954,151223,223655
10,115396,19008.6,104331,105258,111228,117369,190408
11,90345.3,8719.19,81080,82379.8,87877,95327,111280
12,87104.6,8994.46,74373,80779,87227.5,90260,105398
13,71590.4,5708.85,64889,68365.2,70291,75020,88636
14,64879.5,13648.7,55539,58312.8,59970.5,65381,109099
15,52849.8,2157.99,49932,50624.2,52561.5,55332.2,55853
16,90365.9,19718.2,50358,86249.8,94851,104971,117334
17,56832.3,6481.4,49761,50033,58291.5,61717.5,69767
18,54682,9184.77,47326,47824,51945,56921,70472
19,47709.9,252.232,47404,47499.2,47684.5,47895.2,48271
20,49601.4,7298.03,47309,47872,47998,48218.2,80587
